TOT_SER,MSG,CAL,RESP,LYLTY_TAG,COMP,FAULTS,SRVC_TNRE,LABEL
MULTI,MULTI_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
SINGLE,NO_M,MULTI_C,N,UNKNOWN,YES,SINGLE_F,6 MONTHS,NO
MULTI,MULTI_M,SINGLE_C,ADV,GOLD,NO,NO_F,30 MONTHS,YES
MULTI,MULTI_M,MULTI_C,N,SILVER,YES,NO_F,6 MONTHS,YES
MULTI,NO_M,MULTI_C,N,MEMBER,NO,NO_F,6 MONTHS,YES
MULTI,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
SINGLE,SINGLE_M,SINGLE_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
MULTI,MULTI_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,30 MONTHS,YES
MULTI,NO_M,MULTI_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
MULTI,NO_M,MULTI_C,N,SILVER,NO,SINGLE_F,36+ MONTHS,YES
MULTI,NO_M,MULTI_C,N,SILVER,NO,MULTI_F,36+ MONTHS,YES
