TARGET_ID,COHORT,TOT_SER,MSG,CAL,RESP,LYLTY_TAG,COMP,FAULTS,SRVC_TNRE,LABEL
167,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
74,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
141,3,MULTI,NO_M,MULTI_C,N,MEMBER,NO,MULTI_F,36+ MONTHS,NO
200,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36 MONTHS,NO
97,3,MULTI,NO_M,NO_C,ADV,GOLD,NO,NO_F,36+ MONTHS,NO
164,3,MULTI,NO_M,NO_C,ADV,SILVER,NO,NO_F,12 MONTHS,NO
207,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,24 MONTHS,NO
179,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36 MONTHS,NO
40,3,SINGLE,NO_M,NO_C,ADV,SILVER,NO,NO_F,36+ MONTHS,NO
118,3,MULTI,NO_M,NO_C,ADV,MEMBER,NO,NO_F,12 MONTHS,NO
56,3,SINGLE,NO_M,MULTI_C,PASS,MEMBER,NO,NO_F,36+ MONTHS,NO
84,3,MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
165,3,MULTI,MULTI_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
5,3,SINGLE,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
149,2,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
7,1,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
115,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
81,1,SINGLE,NO_M,SINGLE_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
212,1,MULTI,MULTI_M,NO_C,N,UNKNOWN,NO,NO_F,12 MONTHS,YES
23,3,MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,MULTI_F,36+ MONTHS,NO
181,1,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
116,3,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
140,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
20,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
152,3,MULTI,NO_M,SINGLE_C,N,GOLD,NO,MULTI_F,36+ MONTHS,NO
102,3,MULTI,SINGLE_M,SINGLE_C,N,GOLD,NO,MULTI_F,36+ MONTHS,NO
138,3,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
129,3,MULTI,NO_M,MULTI_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
215,3,MULTI,MULTI_M,NO_C,N,UNKNOWN,NO,NO_F,6 MONTHS,NO
60,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
53,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
173,3,MULTI,NO_M,MULTI_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
176,2,SINGLE,NO_M,SINGLE_C,N,MEMBER,NO,NO_F,36+ MONTHS,YES
205,3,MULTI,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,18 MONTHS,NO
96,3,MULTI,NO_M,SINGLE_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
19,3,MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
91,2,SINGLE,MULTI_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
99,2,SINGLE,NO_M,NO_C,N,SILVER,NO,NO_F,18 MONTHS,YES
137,3,MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
88,3,MULTI,NO_M,NO_C,N,MEMBER,NO,NO_F,30 MONTHS,NO
16,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
98,2,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
113,1,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
161,2,SINGLE,SINGLE_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
204,3,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,12 MONTHS,NO
32,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,24 MONTHS,NO
76,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
105,3,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
87,3,MULTI,NO_M,SINGLE_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
13,3,SINGLE,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
112,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
47,2,SINGLE,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
