TARGET_ID,COHORT,TOT_SER,MSG,CAL,RESP,LYLTY_TAG,COMP,FAULTS,SRVC_TNRE,LABEL
106,3,MULTI,NO_M,NO_C,PASS,UNKNOWN,NO,NO_F,36+ MONTHS,NO
107,2,SINGLE,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
109,2,SINGLE,NO_M,SINGLE_C,N,SILVER,NO,NO_F,36 MONTHS,YES
110,2,SINGLE,SINGLE_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
111,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
112,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
113,1,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
114,3,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
115,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
116,3,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
118,3,MULTI,NO_M,NO_C,ADV,MEMBER,NO,NO_F,12 MONTHS,NO
119,1,MULTI,NO_M,SINGLE_C,N,BUSINESS,NO,NO_F,36+ MONTHS,YES
120,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
121,2,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
122,3,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
123,1,MULTI,NO_M,MULTI_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,YES
125,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
127,1,SINGLE,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
129,3,MULTI,NO_M,MULTI_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
130,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
134,1,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
136,1,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36 MONTHS,YES
137,3,MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
139,3,MULTI,MULTI_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
140,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
141,3,MULTI,NO_M,MULTI_C,N,MEMBER,NO,MULTI_F,36+ MONTHS,NO
